Unit,,F,f_contrast,Score,f_gj,Score
近期,,31,9,-3.8502,22,3.8502
电视讲话,,12,1,-3.8243,11,3.8243
数百人,,12,1,-3.8243,11,3.8243
程度,,22,5,-3.8139,17,3.8139
欧洲,,184,91,-3.8131,93,3.8131
反映,,17,3,-3.732,14,3.732
缺乏,,17,3,-3.732,14,3.732
虽,,17,3,-3.732,14,3.732
引发,,51,19,-3.7204,32,3.7204
不能,,49,18,-3.7165,31,3.7165
反对,,91,40,-3.6996,51,3.6996
影响,,100,45,-3.6519,55,3.6519
生活,,70,29,-3.6385,41,3.6385
日起,,28,8,-3.605,20,3.605
参与者,,19,4,-3.5935,15,3.5935
反应,,14,2,-3.5574,12,3.5574
姿态,,14,2,-3.5574,12,3.5574
意识,,14,2,-3.5574,12,3.5574
跨,,14,2,-3.5574,12,3.5574
持续,,143,69,-3.5572,74,3.5572
从,,231,119,-3.5204,112,3.5204
妥协,,34,11,-3.5102,23,3.5102
关注,,44,16,-3.4715,28,3.4715
失业率,,8,0,-3.4343,8,3.4343
涨价,,8,0,-3.4343,8,3.4343
补贴,,8,0,-3.4343,8,3.4343
汽油价格,,8,0,-3.4343,8,3.4343
现状,,8,0,-3.4343,8,3.4343
长远,,8,0,-3.4343,8,3.4343
演变,,8,0,-3.4343,8,3.4343
防暴警察,,8,0,-3.4343,8,3.4343
勒梅尔,,8,0,-3.4343,8,3.4343
最低,,8,0,-3.4343,8,3.4343
失控,,8,0,-3.4343,8,3.4343
转为,,8,0,-3.4343,8,3.4343
底层,,8,0,-3.4343,8,3.4343
只会,,8,0,-3.4343,8,3.4343
波尔多,,8,0,-3.4343,8,3.4343
里昂,,8,0,-3.4343,8,3.4343
布雷,,8,0,-3.4343,8,3.4343
高涨,,8,0,-3.4343,8,3.4343
贝纳拉,,8,0,-3.4343,8,3.4343
变革,,8,0,-3.4343,8,3.4343
姚凯,,8,0,-3.4343,8,3.4343
纵火,,11,1,-3.4309,10,3.4309
凝聚,,11,1,-3.4309,10,3.4309
体制,,11,1,-3.4309,10,3.4309
有些,,11,1,-3.4309,10,3.4309
1000,,11,1,-3.4309,10,3.4309
本,,23,6,-3.4162,17,3.4162
称为,,16,3,-3.3832,13,3.3832
12,,242,126,-3.3794,116,3.3794
来说,,25,7,-3.3591,18,3.3591
因此,,55,22,-3.3006,33,3.3006
于,,159,79,-3.2943,80,3.2943
红,,29,9,-3.2841,20,3.2841
矛盾,,18,4,-3.2623,14,3.2623
统计,,18,4,-3.2623,14,3.2623
商家,,18,4,-3.2623,14,3.2623
紧急状态,,18,4,-3.2623,14,3.2623
应对,,49,19,-3.2586,30,3.2586
8,,105,49,-3.2542,56,3.2542
强调,,47,18,-3.2477,29,3.2477
改变,,43,16,-3.2318,27,3.2318
内政部长,,43,16,-3.2318,27,3.2318
停止,,41,15,-3.2274,26,3.2274
动荡,,13,2,-3.1918,11,3.1918
建筑,,13,2,-3.1918,11,3.1918
每个,,13,2,-3.1918,11,3.1918
8000,,13,2,-3.1918,11,3.1918
内政部,,20,5,-3.1757,15,3.1757
法新社,,77,34,-3.1701,43,3.1701
口号,,10,1,-3.0408,9,3.0408
经济损失,,10,1,-3.0408,9,3.0408
上任,,15,3,-3.0397,12,3.0397
大幅,,15,3,-3.0397,12,3.0397
伤害,,15,3,-3.0397,12,3.0397
担忧,,26,8,-3.0331,18,3.0331
